county,population,area,population_density,bachelor_or_higher,income_per_cap,percent_white,percent_poverty,percent_females,percent_over_65,winner
"Jerauld County, South Dakota",2066,530,3.90,15.40,26590,93.00,12.20,49.50,26.90,Donald Trump
"Jones County, South Dakota",1001,971,1.03,15.80,23377,89.60,14.40,50.60,23.30,Donald Trump
"Kingsbury County, South Dakota",5065,838,6.04,21.30,27485,95.50,9.20,48.70,23.20,Donald Trump
"Lake County, South Dakota",12055,563,21.41,27.70,27015,93.80,16.30,47.80,22.00,Donald Trump
"Lawrence County, South Dakota",24910,800,31.14,29.10,27498,90.80,14.40,50.00,21.80,Donald Trump
"Lincoln County, South Dakota",61128,578,105.76,39.40,34839,93.90,4.50,50.50,12.90,Donald Trump
"Lyman County, South Dakota",3892,1640,2.37,19.40,20586,57.60,17.00,47.70,15.80,Donald Trump
"McCook County, South Dakota",5654,839,6.74,19.60,24205,82.80,18.60,46.20,20.20,Donald Trump
"McPherson County, South Dakota",2457,575,4.27,22.10,26505,94.90,7.80,49.90,19.00,Donald Trump
"Marshall County, South Dakota",4763,1137,4.19,18.40,22596,97.00,19.90,50.50,28.10,Donald Trump
"Meade County, South Dakota",27202,3471,7.84,19.60,25375,88.00,11.00,48.00,15.30,Donald Trump
"Mellette County, South Dakota",2081,1307,1.59,16.80,15760,40.30,36.60,48.10,15.50,Donald Trump
"Miner County, South Dakota",2333,570,4.09,21.70,31288,95.50,9.50,48.10,21.00,Donald Trump
"Minnehaha County, South Dakota",193134,809,238.73,29.20,26380,84.70,10.90,49.50,13.10,Donald Trump
"Moody County, South Dakota",6404,520,12.32,24.10,27682,79.70,11.90,50.30,18.80,Donald Trump
"Oglala Lakota County, South Dakota",14118,2094,6.74,11.80,7772,5.40,54.00,50.90,7.40,Joe Biden
"Pennington County, South Dakota",113775,2776,40.99,27.80,27000,80.40,13.50,49.60,18.00,Donald Trump
"Perkins County, South Dakota",3037,2872,1.06,17.90,25751,96.00,14.10,49.90,25.20,Donald Trump
"Potter County, South Dakota",2394,866,2.76,18.50,26180,95.50,13.10,50.40,28.90,Donald Trump
"Roberts County, South Dakota",10251,1101,9.31,16.50,22670,59.70,19.60,49.70,19.50,Donald Trump
"Sanborn County, South Dakota",2324,569,4.08,16.40,25823,95.60,12.00,47.90,19.60,Donald Trump
"Spink County, South Dakota",6610,1504,4.39,19.70,27757,95.10,13.20,49.90,20.80,Donald Trump
"Stanley County, South Dakota",2981,1443,2.07,27.40,30933,87.10,10.20,48.70,20.40,Donald Trump
"Sully County, South Dakota",1437,1007,1.43,30.90,30218,93.30,5.80,47.40,25.00,Donald Trump
"Todd County, South Dakota",9982,1388,7.19,12.40,10575,10.40,44.60,51.30,7.40,Joe Biden
"Tripp County, South Dakota",5498,1614,3.41,21.20,23270,82.30,20.60,49.60,22.40,Donald Trump
"Turner County, South Dakota",8361,617,13.55,19.40,25406,95.60,9.10,49.70,20.70,Donald Trump
"Union County, South Dakota",14829,460,32.24,32.20,36167,92.50,4.40,49.60,18.10,Donald Trump
"Walworth County, South Dakota",5524,708,7.80,21.80,25915,81.20,10.90,50.30,23.50,Donald Trump
"Yankton County, South Dakota",22696,522,43.48,26.40,27268,90.40,13.40,48.00,18.90,Donald Trump
"Ziebach County, South Dakota",2834,1962,1.44,14.70,12339,23.90,42.30,50.10,9.60,Joe Biden
"Anderson County, Tennessee",76978,338,227.75,23.50,24561,91.70,18.20,51.30,20.10,Donald Trump
"Bedford County, Tennessee",49713,474,104.88,12.30,19303,87.00,20.00,50.90,15.10,Donald Trump
"Benton County, Tennessee",16290,394,41.35,10.30,18456,94.70,22.10,51.00,23.60,Donald Trump
"Bledsoe County, Tennessee",12841,406,31.63,9.30,15747,90.60,22.40,41.10,18.50,Donald Trump
"Blount County, Tennessee",133088,559,238.08,20.80,23788,93.80,13.70,51.50,20.20,Donald Trump
"Bradley County, Tennessee",108110,329,328.60,18.50,21649,90.90,19.80,51.40,17.10,Donald Trump
"Campbell County, Tennessee",39842,480,83.00,9.50,16812,97.50,23.80,50.90,20.70,Donald Trump
"Cannon County, Tennessee",13775,266,51.79,13.00,20566,95.80,17.80,50.30,18.30,Donald Trump
"Carroll County, Tennessee",28513,599,47.60,15.40,18330,86.70,20.10,51.10,20.30,Donald Trump
"Carter County, Tennessee",56391,341,165.37,15.80,19018,96.40,22.90,51.10,21.90,Donald Trump
"Cheatham County, Tennessee",40667,303,134.21,18.90,23459,95.20,13.80,50.30,15.00,Donald Trump
"Chester County, Tennessee",17321,289,59.93,15.50,18817,87.20,19.90,51.90,17.20,Donald Trump
"Claiborne County, Tennessee",31560,434,72.72,13.30,18583,96.40,22.90,51.10,19.90,Donald Trump
"Clay County, Tennessee",7774,236,32.94,12.90,16867,96.30,20.60,50.80,24.30,Donald Trump
"Cocke County, Tennessee",35479,434,81.75,9.50,17476,95.00,26.10,51.70,21.10,Donald Trump
"Coffee County, Tennessee",56520,429,131.75,18.00,20357,92.30,20.90,51.20,17.30,Donald Trump
"Crockett County, Tennessee",14591,265,55.06,11.90,18664,82.50,18.90,52.20,18.80,Donald Trump
"Cumberland County, Tennessee",60520,682,88.74,17.40,21141,96.90,17.60,51.30,30.70,Donald Trump
"Davidson County, Tennessee",694144,502,1382.76,35.90,28467,65.30,18.50,51.70,12.20,Joe Biden
"Decatur County, Tennessee",11661,333,35.02,14.20,25368,94.80,22.60,50.90,23.40,Donald Trump
"DeKalb County, Tennessee",19164,304,63.04,13.30,21606,94.90,19.00,50.00,18.40,Donald Trump
"Dickson County, Tennessee",53948,490,110.10,14.20,21547,92.70,15.40,50.90,16.20,Donald Trump
"Dyer County, Tennessee",37159,510,72.86,18.10,21208,82.70,17.80,51.80,17.60,Donald Trump
"Fayette County, Tennessee",41133,705,58.34,21.50,28201,70.20,14.00,50.80,21.40,Donald Trump
"Fentress County, Tennessee",17909,499,35.89,11.10,16454,97.70,25.70,51.20,22.00,Donald Trump
"Franklin County, Tennessee",42208,553,76.33,18.40,22398,91.40,15.10,51.20,20.00,Donald Trump
"Gibson County, Tennessee",49133,603,81.48,16.50,20402,79.60,18.70,52.10,18.10,Donald Trump
"Giles County, Tennessee",28746,611,47.05,14.60,19998,86.40,19.50,51.50,20.00,Donald Trump
"Grainger County, Tennessee",22702,280,81.08,10.50,17933,97.10,20.40,49.60,20.50,Donald Trump
"Greene County, Tennessee",69069,622,111.04,15.50,19801,95.50,22.00,50.80,21.60,Donald Trump
"Grundy County, Tennessee",13498,361,37.39,10.00,15683,97.10,29.70,50.50,21.00,Donald Trump
"Hamblen County, Tennessee",64934,161,403.32,16.00,21261,91.40,19.20,51.20,18.50,Donald Trump
"Hamilton County, Tennessee",367804,543,677.36,27.20,27229,75.90,16.60,51.70,17.60,Donald Trump
"Hancock County, Tennessee",6679,222,30.09,9.00,14326,97.20,30.80,50.70,21.30,Donald Trump
"Hardeman County, Tennessee",26306,668,39.38,9.80,14975,55.30,24.60,45.40,18.10,Donald Trump
"Hardin County, Tennessee",26034,578,45.04,11.20,20127,93.90,22.60,51.20,23.10,Donald Trump
"Hawkins County, Tennessee",56786,487,116.60,12.70,20662,96.40,16.20,50.90,21.10,Donald Trump
"Haywood County, Tennessee",18224,533,34.19,11.40,18714,47.30,21.10,53.40,19.00,Joe Biden
"Henderson County, Tennessee",28048,520,53.94,13.10,20449,89.40,18.80,51.50,18.40,Donald Trump
"Henry County, Tennessee",32210,562,57.31,16.00,22239,89.60,19.20,51.50,23.30,Donald Trump
"Hickman County, Tennessee",24267,613,39.59,12.00,18383,92.40,17.40,47.40,17.60,Donald Trump
"Houston County, Tennessee",8292,200,41.46,9.70,18539,93.90,23.50,50.90,20.50,Donald Trump
"Humphreys County, Tennessee",18243,532,34.29,12.40,22183,94.40,13.90,50.30,20.00,Donald Trump
"Jackson County, Tennessee",11517,309,37.27,9.90,18387,97.00,22.10,50.30,22.50,Donald Trump
"Jefferson County, Tennessee",54495,274,198.89,13.60,20619,95.40,18.30,50.80,20.00,Donald Trump
"Johnson County, Tennessee",17977,299,60.12,9.00,16470,95.90,26.40,46.20,22.80,Donald Trump
"Knox County, Tennessee",470313,509,923.99,34.30,28136,86.00,14.60,51.40,15.80,Donald Trump
"Lake County, Tennessee",7731,163,47.43,7.00,12042,68.60,31.70,35.70,15.70,Donald Trump
"Lauderdale County, Tennessee",27795,470,59.14,10.40,15758,62.20,26.00,48.50,15.80,Donald Trump
"Lawrence County, Tennessee",44142,617,71.54,12.00,19136,95.50,18.10,50.90,17.80,Donald Trump
"Lewis County, Tennessee",11961,282,42.41,11.70,17751,95.30,19.90,51.20,20.90,Donald Trump
"Lincoln County, Tennessee",33633,570,59.01,15.50,21811,89.60,16.30,50.90,19.40,Donald Trump
"Loudon County, Tennessee",54068,229,236.10,25.20,27045,95.50,16.10,50.80,26.40,Donald Trump
"McMinn County, Tennessee",53794,307,175.22,8.40,17009,96.00,21.20,51.10,15.70,Donald Trump
"McNairy County, Tennessee",26140,557,46.93,24.60,23283,59.00,20.00,52.60,17.00,Donald Trump
"Macon County, Tennessee",22701,500,45.40,15.40,21399,93.20,18.20,51.10,20.10,Donald Trump
"Madison County, Tennessee",97984,375,261.29,13.10,20739,90.10,16.20,51.00,16.10,Donald Trump
"Marion County, Tennessee",28374,613,46.29,17.40,22766,84.40,15.40,51.80,15.90,Donald Trump
"Marshall County, Tennessee",31130,430,72.40,14.30,19744,92.70,18.30,51.30,19.60,Donald Trump
"Maury County, Tennessee",96387,560,172.12,11.60,18428,91.50,22.60,50.90,20.80,Donald Trump
"Meigs County, Tennessee",11649,195,59.74,8.20,19403,95.70,20.70,50.40,21.20,Donald Trump
"Monroe County, Tennessee",46545,635,73.30,10.50,19643,94.80,19.60,50.20,21.20,Donald Trump
"Montgomery County, Tennessee",208993,539,387.74,23.50,22380,70.90,16.40,50.20,9.20,Donald Trump
"Moore County, Tennessee",6301,129,48.84,14.60,23307,94.60,13.20,50.00,21.50,Donald Trump
"Morgan County, Tennessee",21915,522,41.98,7.40,17747,94.10,20.80,45.30,17.80,Donald Trump
"Obion County, Tennessee",31131,545,57.12,14.20,20900,86.70,17.90,51.60,20.40,Donald Trump
"Overton County, Tennessee",22075,433,50.98,12.60,18347,97.40,22.40,50.40,20.60,Donald Trump
"Perry County, Tennessee",7869,415,18.96,13.70,17214,93.80,21.10,49.50,21.10,Donald Trump
"Pickett County, Tennessee",5090,163,31.23,13.00,21942,98.40,19.20,50.00,27.60,Donald Trump
"Polk County, Tennessee",16690,435,38.37,11.10,20274,96.50,17.30,50.70,21.00,Donald Trump
"Putnam County, Tennessee",80245,401,200.11,22.90,20517,93.50,26.50,50.20,16.70,Donald Trump
"Rhea County, Tennessee",32513,316,102.89,12.60,18952,94.70,22.60,50.40,18.60,Donald Trump
"Roane County, Tennessee",53382,361,147.87,17.30,23936,94.30,15.00,51.20,22.80,Donald Trump
"Robertson County, Tennessee",71813,477,150.55,17.10,23809,89.30,13.00,50.60,14.80,Donald Trump
"Rutherford County, Tennessee",332285,619,536.81,28.30,25077,77.20,13.00,50.80,10.50,Donald Trump
"Scott County, Tennessee",22015,532,41.38,10.30,17121,98.10,28.30,50.90,16.80,Donald Trump
"Sequatchie County, Tennessee",14681,266,55.19,13.50,20899,96.50,17.40,50.50,20.40,Donald Trump
"Sevier County, Tennessee",98250,592,165.96,15.00,22242,95.20,14.50,51.10,19.80,Donald Trump
"Shelby County, Tennessee",937166,755,1241.28,29.00,25549,41.10,20.80,52.50,13.60,Joe Biden
"Smith County, Tennessee",19074,314,60.75,11.10,21153,95.20,19.40,50.30,17.00,Donald Trump
"Stewart County, Tennessee",13362,458,29.17,11.70,21701,94.30,20.00,50.10,20.30,Donald Trump
"Sullivan County, Tennessee",158348,413,383.41,20.50,23850,94.90,18.30,51.40,21.90,Donald Trump
"Sumner County, Tennessee",191283,529,361.59,23.70,27795,88.20,10.40,51.20,15.90,Donald Trump
"Tipton County, Tennessee",61599,459,134.20,15.10,23054,78.10,13.40,50.60,14.50,Donald Trump
"Trousdale County, Tennessee",7828,114,68.67,12.90,20491,85.70,13.60,40.80,12.90,Donald Trump
"Unicoi County, Tennessee",18082,186,97.22,12.90,20152,97.40,21.70,50.90,23.20,Donald Trump
"Union County, Tennessee",19102,224,85.28,8.20,17426,97.40,23.60,50.70,18.30,Donald Trump
"Van Buren County, Tennessee",5583,247,22.60,10.40,19450,97.00,22.50,49.90,23.70,Donald Trump
"Warren County, Tennessee",41277,433,95.33,12.10,19531,93.10,21.50,50.50,17.70,Donald Trump
"Washington County, Tennessee",129375,326,396.86,29.30,25355,91.40,18.30,51.10,18.30,Donald Trump
"Wayne County, Tennessee",16939,734,23.08,7.90,17706,91.80,20.20,44.80,19.50,Donald Trump
"Weakley County, Tennessee",34450,580,59.40,20.10,19547,89.00,20.90,51.00,18.60,Donald Trump
"White County, Tennessee",26244,377,69.61,11.00,18205,95.50,19.90,51.10,20.30,Donald Trump
"Williamson County, Tennessee",238412,582,409.64,52.80,41292,88.70,5.70,50.90,13.20,Donald Trump
"Wilson County, Tennessee",144657,571,253.34,26.00,27864,88.60,10.20,50.80,15.70,Donald Trump
"Anderson County, Texas",57735,1071,53.91,10.90,18495,74.80,20.30,38.80,14.80,Donald Trump
"Andrews County, Texas",16799,1501,11.19,14.20,27429,94.20,12.50,48.80,10.40,Donald Trump
"Angelina County, Texas",86715,802,108.12,15.00,20982,81.20,19.30,51.20,16.30,Donald Trump
"Aransas County, Texas",24356,252,96.65,21.70,26953,93.10,19.60,50.60,29.60,Donald Trump
"Archer County, Texas",8681,910,9.54,20.00,27800,95.30,11.30,50.80,20.00,Donald Trump
"Armstrong County, Texas",1949,914,2.13,24.70,26823,96.40,11.10,51.50,23.90,Donald Trump
"Atascosa County, Texas",51153,1232,41.52,14.10,20193,95.50,16.40,50.10,14.70,Donald Trump
"Austin County, Texas",28847,653,44.18,18.60,25884,87.50,10.10,50.10,19.00,Donald Trump
"Bailey County, Texas",7114,827,8.60,11.10,18676,92.20,13.00,50.20,14.60,Donald Trump
"Bandera County, Texas",20601,792,26.01,21.90,25364,95.40,15.30,50.40,27.00,Donald Trump
"Bastrop County, Texas",88723,888,99.91,16.30,23342,87.50,16.50,49.10,15.20,Donald Trump
"Baylor County, Texas",3614,871,4.15,24.10,28021,93.50,15.40,51.30,23.80,Donald Trump
"Bee County, Texas",32799,880,37.27,8.20,16848,88.20,22.20,39.20,12.30,Donald Trump
"Bell County, Texas",362924,1059,342.70,21.70,22857,65.80,15.30,50.30,10.80,Donald Trump
"Bexar County, Texas",2003554,1247,1606.70,26.30,24253,84.40,17.60,50.60,12.10,Joe Biden
"Blanco County, Texas",10723,711,15.08,26.80,26781,94.40,9.30,49.80,24.30,Donald Trump
"Borden County, Texas",637,899,0.71,32.10,50042,95.20,0.90,48.00,24.70,Donald Trump
"Bosque County, Texas",17855,989,18.05,15.40,23992,94.80,14.70,50.50,24.60,Donald Trump
"Bowie County, Texas",93245,888,105.01,19.00,22911,69.70,19.70,49.70,16.50,Donald Trump
"Brazoria County, Texas",374264,1387,269.84,27.50,29081,75.30,11.20,49.50,11.80,Donald Trump
"Brazos County, Texas",229211,586,391.15,38.80,21720,79.60,29.80,49.50,9.20,Donald Trump
"Brewster County, Texas",9286,6193,1.50,36.10,27796,92.80,12.40,49.50,23.10,Donald Trump
"Briscoe County, Texas",1537,900,1.71,17.80,20697,93.10,18.60,50.60,26.20,Donald Trump
"Brooks County, Texas",7237,943,7.67,10.80,14345,96.70,38.30,49.50,18.30,Joe Biden
"Brown County, Texas",37864,944,40.11,16.00,21236,92.40,18.40,50.50,19.90,Donald Trump
"Burleson County, Texas",17169,666,25.78,11.60,21529,83.80,15.00,50.80,20.40,Donald Trump
"Burnet County, Texas",48155,995,48.40,21.90,24998,94.20,16.30,51.00,22.30,Donald Trump
"Caldwell County, Texas",43664,546,79.97,15.70,19673,88.90,18.70,49.50,14.40,Donald Trump
"Calhoun County, Texas",21806,512,42.59,15.70,23381,89.10,17.60,48.60,17.90,Donald Trump
"Callahan County, Texas",13525,899,15.04,14.70,22855,94.80,15.20,50.50,20.50,Donald Trump
"Cameron County, Texas",423163,906,467.07,15.40,14710,97.10,34.80,51.30,13.50,Joe Biden
"Camp County, Texas",12413,198,62.69,15.20,19176,78.60,21.80,51.40,18.50,Donald Trump
"Carson County, Texas",6010,923,6.51,21.50,26827,94.70,7.20,49.90,19.50,Donald Trump
"Cass County, Texas",30331,938,32.34,13.00,20104,80.30,20.90,51.60,22.10,Donald Trump
"Castro County, Texas",8030,898,8.94,12.80,19708,93.70,24.10,48.50,15.80,Donald Trump
"Chambers County, Texas",36812,599,61.46,18.00,30140,87.50,9.70,49.30,11.80,Donald Trump
"Cherokee County, Texas",52646,1052,50.04,15.10,18801,81.20,24.50,49.00,17.60,Donald Trump
"Childress County, Texas",7095,710,9.99,18.60,20248,86.10,15.90,39.20,15.40,Donald Trump
"Clay County, Texas",10473,1098,9.54,18.20,25867,95.00,10.30,50.20,22.70,Donald Trump
"Cochran County, Texas",3016,775,3.89,12.40,17371,90.90,15.10,49.80,16.30,Donald Trump
"Coke County, Texas",3210,899,3.57,17.40,26407,94.50,11.00,50.60,27.30,Donald Trump
"Coleman County, Texas",8543,1273,6.71,15.00,18967,92.20,27.60,49.50,25.00,Donald Trump
"Collin County, Texas",1034730,848,1220.20,49.30,37839,70.00,7.80,50.80,11.00,Donald Trump
"Collingsworth County, Texas",3099,919,3.37,18.90,22847,88.10,20.40,51.10,18.90,Donald Trump
"Colorado County, Texas",20752,963,21.55,16.90,24348,83.90,16.60,49.70,22.10,Donald Trump
"Comal County, Texas",156209,562,277.95,33.30,32980,93.20,10.20,50.60,18.10,Donald Trump
"Comanche County, Texas",13623,938,14.52,18.90,19268,95.60,26.40,50.20,24.30,Donald Trump
"Concho County, Texas",4043,992,4.08,10.80,19976,93.70,16.50,29.40,17.70,Donald Trump
"Cooke County, Texas",41257,874,47.20,19.50,25186,92.10,14.80,50.10,18.50,Donald Trump
"Coryell County, Texas",75951,1052,72.20,15.10,19357,73.60,13.40,50.30,10.30,Donald Trump
"Cottle County, Texas",1452,901,1.61,16.10,21089,86.30,15.40,51.50,24.30,Donald Trump
"Crane County, Texas",4773,786,6.07,13.60,22291,92.20,13.80,49.60,11.90,Donald Trump
"Crockett County, Texas",3807,2808,1.36,11.10,23872,94.00,16.70,50.10,17.70,Donald Trump
"Crosby County, Texas",5991,900,6.66,13.80,18959,92.50,26.50,50.60,18.70,Donald Trump
"Culberson County, Texas",2277,3813,0.60,16.50,16227,91.40,25.20,50.60,21.50,Joe Biden
"Dallam County, Texas",7057,1505,4.69,10.40,19752,92.50,18.10,47.90,11.40,Donald Trump
"Dallas County, Texas",2635516,880,2994.90,28.60,26816,66.70,19.10,50.60,10.70,Joe Biden
"Dawson County, Texas",13810,902,15.31,9.40,17677,90.00,21.90,45.10,14.90,Donald Trump
"Deaf Smith County, Texas",19177,1497,12.81,15.60,17532,94.40,18.90,50.10,12.70,Donald Trump
"Delta County, Texas",5238,277,18.91,16.20,20150,87.20,17.90,50.30,20.80,Donald Trump
"Denton County, Texas",887207,888,999.11,40.50,33855,76.30,8.70,50.80,10.20,Donald Trump
"DeWitt County, Texas",20503,909,22.56,12.40,23720,87.90,13.50,47.50,19.90,Donald Trump
"Dickens County, Texas",2291,904,2.53,13.50,20578,88.40,18.80,44.60,22.80,Donald Trump
"Dimmit County, Texas",10897,1331,8.19,9.20,17516,95.90,26.50,50.80,16.80,Joe Biden
"Donley County, Texas",3522,930,3.79,16.70,21904,90.90,16.70,50.90,24.00,Donald Trump
"Duval County, Texas",11640,1793,6.49,6.80,20181,96.40,19.70,48.40,17.90,Joe Biden
"Eastland County, Texas",18245,926,19.70,16.00,21125,94.30,19.00,50.10,21.80,Donald Trump
"Ector County, Texas",166223,901,184.49,13.50,24247,90.40,15.90,49.10,9.70,Donald Trump
"Edwards County, Texas",1884,2120,0.89,24.20,22015,95.00,18.40,47.10,29.10,Donald Trump
"Ellis County, Texas",184826,940,196.62,20.70,18379,92.00,23.30,50.70,12.30,Donald Trump
"El Paso County, Texas",839238,1013,828.47,20.70,25662,84.80,11.90,50.70,12.80,Joe Biden
"Erath County, Texas",42698,1086,39.32,24.30,21670,94.20,22.30,51.00,14.20,Donald Trump
"Falls County, Texas",17493,769,22.75,10.70,16486,71.80,20.90,52.50,18.20,Donald Trump
"Fannin County, Texas",33659,892,37.73,15.00,20337,88.90,17.20,46.90,18.50,Donald Trump
"Fayette County, Texas",24821,950,26.13,16.80,27032,90.40,11.60,50.90,25.40,Donald Trump
"Fisher County, Texas",3856,901,4.28,15.20,22709,91.70,17.10,50.40,24.60,Donald Trump
"Floyd County, Texas",6230,992,6.28,17.10,21655,91.80,20.30,49.60,18.70,Donald Trump
"Foard County, Texas",1277,707,1.81,21.80,20202,92.30,15.40,51.40,26.30,Donald Trump
"Fort Bend County, Texas",811688,875,927.64,41.40,34084,55.10,8.40,50.90,11.10,Joe Biden
"Franklin County, Texas",10660,286,37.27,20.30,28189,92.10,14.40,50.30,21.80,Donald Trump
"Freestone County, Texas",19646,885,22.20,11.70,22876,80.00,15.60,48.10,19.90,Donald Trump
"Frio County, Texas",18065,1133,15.94,6.50,15863,91.50,24.00,40.70,12.30,Donald Trump
"Gaines County, Texas",18921,1502,12.60,11.90,21572,95.00,16.80,49.30,8.90,Donald Trump
"Galveston County, Texas",342139,399,857.49,28.50,30926,80.20,13.30,50.80,14.40,Donald Trump
"Garza County, Texas",6317,896,7.05,9.50,16175,89.40,15.50,33.80,11.10,Donald Trump
"Gillespie County, Texas",25357,1061,23.90,29.20,30117,96.50,12.00,51.30,29.70,Donald Trump
"Glasscock County, Texas",1251,901,1.39,18.80,31135,97.20,4.20,44.90,15.20,Donald Trump
"Goliad County, Texas",7465,854,8.74,14.20,30031,91.80,14.70,50.50,22.90,Donald Trump
"Gonzales County, Texas",20312,1068,19.02,14.50,20288,89.00,21.90,49.50,16.70,Donald Trump
"Gray County, Texas",23043,928,24.83,13.50,21738,90.30,14.60,47.00,16.20,Donald Trump
"Grayson County, Texas",136212,934,145.84,19.60,24003,87.60,15.70,51.20,17.60,Donald Trump
"Gregg County, Texas",123945,274,452.35,19.90,24064,74.50,17.60,51.40,15.40,Donald Trump
"Grimes County, Texas",26859,794,33.83,11.10,20307,81.00,19.10,45.60,17.40,Donald Trump
"Guadalupe County, Texas",166847,711,234.67,24.60,26184,85.50,9.70,50.50,13.80,Donald Trump
"Hale County, Texas",35764,1005,35.59,13.20,18004,90.20,22.30,47.80,13.40,Donald Trump
"Hall County, Texas",3239,903,3.59,14.10,19004,87.10,23.80,50.50,23.20,Donald Trump
"Hamilton County, Texas",8310,836,9.94,17.80,23067,95.00,12.60,50.30,24.90,Donald Trump
"Hansford County, Texas",5555,920,6.04,21.80,23969,95.60,17.00,49.00,14.80,Donald Trump
"Hardeman County, Texas",4016,695,5.78,18.60,19829,89.70,26.60,49.40,22.50,Donald Trump
"Hardin County, Texas",57602,894,64.43,15.60,25559,91.60,10.90,50.70,16.70,Donald Trump
"Harris County, Texas",4713325,1729,2726.04,28.40,27899,69.60,18.50,50.30,10.50,Joe Biden
"Harrison County, Texas",66553,899,74.03,17.80,23236,75.00,16.00,51.10,16.90,Donald Trump
"Hartley County, Texas",6100,1462,4.17,20.60,24566,90.40,8.60,40.10,15.20,Donald Trump
"Haskell County, Texas",5875,903,6.51,12.20,22223,90.80,18.90,46.50,22.00,Donald Trump
"Hays County, Texas",230191,678,339.51,36.70,26873,90.20,17.00,50.30,11.00,Joe Biden
"Hemphill County, Texas",4158,910,4.57,19.60,29544,94.70,11.70,49.80,14.50,Donald Trump
"Henderson County, Texas",82737,874,94.66,14.40,21995,89.80,18.90,51.10,22.00,Donald Trump
"Hidalgo County, Texas",868707,1569,553.67,15.90,14222,97.00,34.80,51.00,11.10,Joe Biden
"Hill County, Texas",34823,962,36.20,14.80,21182,89.60,17.00,50.20,20.70,Donald Trump
"Hockley County, Texas",23530,908,25.91,17.40,21984,92.60,15.70,50.10,14.70,Donald Trump
"Hood County, Texas",61643,422,146.07,24.10,30046,95.50,12.10,51.10,24.60,Donald Trump
"Hopkins County, Texas",35565,785,45.31,15.70,21606,88.80,19.30,50.80,18.30,Donald Trump
"Houston County, Texas",22911,1231,18.61,14.80,19090,71.60,19.70,46.50,22.00,Donald Trump
"Howard County, Texas",36147,903,40.03,12.10,19965,88.10,15.30,42.50,12.90,Donald Trump
"Hudspeth County, Texas",3318,4571,0.73,10.10,14142,90.70,44.10,47.00,15.40,Donald Trump
"Hunt County, Texas",98594,841,117.23,16.60,22341,86.50,19.90,50.70,15.80,Donald Trump
"Hutchinson County, Texas",21819,887,24.60,13.50,23383,91.70,15.80,49.70,16.50,Donald Trump
"Irion County, Texas",1612,1052,1.53,13.00,28055,95.50,8.70,48.70,21.50,Donald Trump
"Jack County, Texas",8957,917,9.77,10.70,24325,93.00,16.70,43.60,17.10,Donald Trump
"Jackson County, Texas",14591,830,17.58,17.90,23418,89.60,12.70,50.20,18.10,Donald Trump
"Jasper County, Texas",35649,938,38.01,11.20,20254,81.00,17.80,50.50,19.60,Donald Trump
"Jeff Davis County, Texas",2253,2265,0.99,35.30,26958,94.00,7.40,48.80,34.90,Donald Trump
"Jefferson County, Texas",251565,904,278.28,17.80,23236,59.10,21.00,48.70,14.40,Donald Trump
"Jim Hogg County, Texas",5245,1136,4.62,10.90,19212,97.30,14.00,48.70,17.60,Joe Biden
"Jim Wells County, Texas",40482,865,46.80,11.10,20452,96.50,21.70,50.40,15.30,Donald Trump
"Johnson County, Texas",175817,729,241.18,16.70,24816,91.70,12.00,50.10,14.10,Donald Trump
"Jones County, Texas",19859,931,21.33,8.90,14827,83.00,18.50,37.30,15.60,Donald Trump
"Karnes County, Texas",15081,750,20.11,11.20,19899,88.10,23.30,41.20,14.10,Donald Trump
"Kaufman County, Texas",136154,786,173.22,17.60,24954,82.80,13.30,50.70,11.90,Donald Trump
"Kendall County, Texas",47431,662,71.65,39.70,35827,94.60,9.30,51.00,19.10,Donald Trump
"Kenedy County, Texas",412,1457,0.28,10.60,15157,91.90,32.80,48.40,15.60,Donald Trump
"Kent County, Texas",807,902,0.89,23.10,24839,94.20,8.60,50.30,27.10,Donald Trump
"Kerr County, Texas",52600,1106,47.56,28.20,26334,93.90,14.90,51.90,27.70,Donald Trump
"Kimble County, Texas",4481,1251,3.58,17.60,27502,96.50,19.50,51.10,29.30,Donald Trump
"King County, Texas",285,912,0.31,20.50,29836,95.70,5.90,49.50,17.70,Donald Trump
"Kinney County, Texas",3586,1364,2.63,14.60,16700,93.80,25.70,44.90,24.00,Donald Trump
"Kleberg County, Texas",32101,871,36.86,23.60,18918,90.70,24.50,48.80,12.90,Donald Trump
"Knox County, Texas",3767,854,4.41,12.50,19396,89.40,20.80,50.50,19.90,Donald Trump
"Lamar County, Texas",49859,917,54.37,5.10,13307,96.90,21.70,40.80,13.70,Donald Trump
"Lamb County, Texas",13775,1016,13.56,16.50,21468,80.90,19.10,51.80,19.20,Donald Trump
"Lampasas County, Texas",20222,712,28.40,14.00,18744,91.40,22.10,50.40,16.80,Donald Trump
"La Salle County, Texas",7369,1489,4.95,19.80,23423,89.90,16.90,50.70,19.60,Donald Trump
"Lavaca County, Texas",19581,970,20.19,16.30,24299,90.80,8.30,51.20,23.30,Donald Trump
"Lee County, Texas",16628,629,26.44,15.70,25123,85.40,12.40,49.80,18.50,Donald Trump
"Leon County, Texas",16742,1072,15.62,14.80,24170,89.70,17.70,50.30,24.50,Donald Trump
"Liberty County, Texas",88219,1160,76.05,8.80,19740,86.30,18.40,50.40,12.80,Donald Trump
